Pond Name	X_Meters	Y_Meters
SWF-1127	365247.0313	5021426
SWF-1133	364703.125	5025658.5
SWF-1134	360658.3125	5019989.5
SWF-1204	351276.625	5022644
SWF-1205	352675.7188	5020191.5
SWF-1206	351979.6875	5019606.5
SWF-1207	349923.375	5019074
SWF-1208	350005.6875	5018870
SWF-1209	349163.375	5019219.5
SWF-1215	349880.3438	5023819
SWF-1220	332380.2813	5030798
SWF-1221	341445.2188	5023177
SWF-1227	348945.9063	5024316.5
SWF-1228	348985.375	5022656
SWF-1234	350197.2188	5024972.5
SWF-1235	349994.625	5025130.5
SWF-1236	349247.3438	5024186.5
SWF-1253	349162.5938	5017846
SWF-1306	352851.6875	5016353.5
SWF-1310	348480.5	5014605.5
TIM-2	348305.5	5014568.5
SWF-1311	348592.0625	5014807
SWF-1312	349388.0625	5013245
SWF-1314	350922.4375	5014361
SWF-1316	350347	5017793
SWF-1320	350794.5938	5015041.5
SWF-1325	351719.4688	5015020
SWF-1347	351205.9375	5016404
SWF-1352	353535.3125	5015579
SWF-1428	361561.0313	5014823.5
SWF-1439	360444.2813	5017232.5
SWF-1444	361154	5014021.5
SWF-1501	366184.75	5000206.5
SWF-1610	371779.6563	5023829.5
SWF-1616	371159.0313	5025835
SWF-1621	373190.9688	5022999
SWF-1622	372164.625	5029532.5
SWF-1802	375778.9063	5014562
SWF-1808	375550.375	5010537
SWF-1809	375619.0625	5010600.5
SWF-1914	387153.5625	5037007
NAT-1	348369.7813	5022168
NAT-2	337878.25	5027308.5
NAT-3	355301.4688	4989989
NAT-4	355350.7813	5038201.5
NAT-5	374113.9688	5046629.5
NAT-6	337405.6563	5026972
NAT-7	338364.5	5028036
NAT-9	337702.9688	5027617
NAT-10	337577.3438	5027708
NAT-11	338428.4688	5027688.5
